File name,Drug
mpg_L5939-1_T2-therapeutic-Idarubicin_S11_R1_001.fastq.gz,Idarubicin
mpg_L5939-1_T2-therapeutic-Idarubicin_S11_R1_001.fastq.gz.md5,Idarubicin
mpg_L5939-1_T2-therapeutic-Idarubicin_S11_R2_001.fastq.gz,Idarubicin
mpg_L5939-1_T2-therapeutic-Idarubicin_S11_R2_001.fastq.gz.md5,Idarubicin
mpg_L5940-1_T8-therapeutic-Idarubicin_S12_R1_001.fastq.gz,Idarubicin
mpg_L5940-1_T8-therapeutic-Idarubicin_S12_R1_001.fastq.gz.md5,Idarubicin
mpg_L5940-1_T8-therapeutic-Idarubicin_S12_R2_001.fastq.gz,Idarubicin
mpg_L5940-1_T8-therapeutic-Idarubicin_S12_R2_001.fastq.gz.md5,Idarubicin
mpg_L5941-1_T24-therapeutic-Idarubicin_S13_R1_001.fastq.gz,Idarubicin
mpg_L5941-1_T24-therapeutic-Idarubicin_S13_R1_001.fastq.gz.md5,Idarubicin
mpg_L5941-1_T24-therapeutic-Idarubicin_S13_R2_001.fastq.gz,Idarubicin
mpg_L5941-1_T24-therapeutic-Idarubicin_S13_R2_001.fastq.gz.md5,Idarubicin
mpg_L5942-1_T72-therapeutic-Idarubicin_S14_R1_001.fastq.gz,Idarubicin
mpg_L5942-1_T72-therapeutic-Idarubicin_S14_R1_001.fastq.gz.md5,Idarubicin
mpg_L5942-1_T72-therapeutic-Idarubicin_S14_R2_001.fastq.gz,Idarubicin
mpg_L5942-1_T72-therapeutic-Idarubicin_S14_R2_001.fastq.gz.md5,Idarubicin
mpg_L5943-1_T168-therapeutic-Idarubicin_S17_R1_001.fastq.gz,Idarubicin
mpg_L5943-1_T168-therapeutic-Idarubicin_S17_R1_001.fastq.gz.md5,Idarubicin
mpg_L5943-1_T168-therapeutic-Idarubicin_S17_R2_001.fastq.gz,Idarubicin
mpg_L5943-1_T168-therapeutic-Idarubicin_S17_R2_001.fastq.gz.md5,Idarubicin
mpg_L5944-1_T240-therapeutic-Idarubicin_S18_R1_001.fastq.gz,Idarubicin
mpg_L5944-1_T240-therapeutic-Idarubicin_S18_R1_001.fastq.gz.md5,Idarubicin
mpg_L5944-1_T240-therapeutic-Idarubicin_S18_R2_001.fastq.gz,Idarubicin
mpg_L5944-1_T240-therapeutic-Idarubicin_S18_R2_001.fastq.gz.md5,Idarubicin
mpg_L5945-1_T336-therapeutic-Idarubicin_S19_R1_001.fastq.gz,Idarubicin
mpg_L5945-1_T336-therapeutic-Idarubicin_S19_R1_001.fastq.gz.md5,Idarubicin
mpg_L5945-1_T336-therapeutic-Idarubicin_S19_R2_001.fastq.gz,Idarubicin
mpg_L5945-1_T336-therapeutic-Idarubicin_S19_R2_001.fastq.gz.md5,Idarubicin
mpg_L5946-1_T2-toxic-Idarubicin_S9_R1_001.fastq.gz,Idarubicin
mpg_L5946-1_T2-toxic-Idarubicin_S9_R1_001.fastq.gz.md5,Idarubicin
mpg_L5946-1_T2-toxic-Idarubicin_S9_R2_001.fastq.gz,Idarubicin
mpg_L5946-1_T2-toxic-Idarubicin_S9_R2_001.fastq.gz.md5,Idarubicin
mpg_L5947-1_T8-toxic-Idarubicin_S10_R1_001.fastq.gz,Idarubicin
mpg_L5947-1_T8-toxic-Idarubicin_S10_R1_001.fastq.gz.md5,Idarubicin
mpg_L5947-1_T8-toxic-Idarubicin_S10_R2_001.fastq.gz,Idarubicin
mpg_L5947-1_T8-toxic-Idarubicin_S10_R2_001.fastq.gz.md5,Idarubicin
mpg_L5948-1_T24-toxic-Idarubicin_S15_R1_001.fastq.gz,Idarubicin
mpg_L5948-1_T24-toxic-Idarubicin_S15_R1_001.fastq.gz.md5,Idarubicin
mpg_L5948-1_T24-toxic-Idarubicin_S15_R2_001.fastq.gz,Idarubicin
mpg_L5948-1_T24-toxic-Idarubicin_S15_R2_001.fastq.gz.md5,Idarubicin
mpg_L5949-1_T72-toxic-Idarubicin_S16_R1_001.fastq.gz,Idarubicin
mpg_L5949-1_T72-toxic-Idarubicin_S16_R1_001.fastq.gz.md5,Idarubicin
mpg_L5949-1_T72-toxic-Idarubicin_S16_R2_001.fastq.gz,Idarubicin
mpg_L5949-1_T72-toxic-Idarubicin_S16_R2_001.fastq.gz.md5,Idarubicin
mpg_L5950-2_T168-toxic-Idarubicin_S20_R1_001.fastq.gz,Idarubicin
mpg_L5950-2_T168-toxic-Idarubicin_S20_R1_001.fastq.gz.md5,Idarubicin
mpg_L5950-2_T168-toxic-Idarubicin_S20_R2_001.fastq.gz,Idarubicin
mpg_L5950-2_T168-toxic-Idarubicin_S20_R2_001.fastq.gz.md5,Idarubicin
mpg_L5951-2_T240-toxic-Idarubicin_S21_R1_001.fastq.gz,Idarubicin
mpg_L5951-2_T240-toxic-Idarubicin_S21_R1_001.fastq.gz.md5,Idarubicin
mpg_L5951-2_T240-toxic-Idarubicin_S21_R2_001.fastq.gz,Idarubicin
mpg_L5951-2_T240-toxic-Idarubicin_S21_R2_001.fastq.gz.md5,Idarubicin
mpg_L5952-2_T336-toxic-Idarubicin_S22_R1_001.fastq.gz,Idarubicin
mpg_L5952-2_T336-toxic-Idarubicin_S22_R1_001.fastq.gz.md5,Idarubicin
mpg_L5952-2_T336-toxic-Idarubicin_S22_R2_001.fastq.gz,Idarubicin
mpg_L5952-2_T336-toxic-Idarubicin_S22_R2_001.fastq.gz.md5,Idarubicin
mpimg_L11188-1_CardiacDMSOfluctuation-Co2-0958_S7_R1_001.fastq.gz,
mpimg_L11188-1_CardiacDMSOfluctuation-Co2-0958_S7_R1_001.fastq.gz.md5,
mpimg_L11188-1_CardiacDMSOfluctuation-Co2-0958_S7_R2_001.fastq.gz,
mpimg_L11188-1_CardiacDMSOfluctuation-Co2-0958_S7_R2_001.fastq.gz.md5,
mpimg_L11189-1_CardiacDMSOfluctuation-Co2-0959_S8_R1_001.fastq.gz,
mpimg_L11189-1_CardiacDMSOfluctuation-Co2-0959_S8_R1_001.fastq.gz.md5,
mpimg_L11189-1_CardiacDMSOfluctuation-Co2-0959_S8_R2_001.fastq.gz,
mpimg_L11189-1_CardiacDMSOfluctuation-Co2-0959_S8_R2_001.fastq.gz.md5,
mpimg_L11190-1_CardiacDMSOfluctuation-Co2-0960_S9_R1_001.fastq.gz,
mpimg_L11190-1_CardiacDMSOfluctuation-Co2-0960_S9_R1_001.fastq.gz.md5,
mpimg_L11190-1_CardiacDMSOfluctuation-Co2-0960_S9_R2_001.fastq.gz,
mpimg_L11190-1_CardiacDMSOfluctuation-Co2-0960_S9_R2_001.fastq.gz.md5,
mpimg_L11191-1_CardiacDMSOfluctuation-Co2-0961_S10_R1_001.fastq.gz,
mpimg_L11191-1_CardiacDMSOfluctuation-Co2-0961_S10_R1_001.fastq.gz.md5,
mpimg_L11191-1_CardiacDMSOfluctuation-Co2-0961_S10_R2_001.fastq.gz,
mpimg_L11191-1_CardiacDMSOfluctuation-Co2-0961_S10_R2_001.fastq.gz.md5,
mpimg_L11192-1_CardiacDMSOfluctuation-Co2-0962_S11_R1_001.fastq.gz,
mpimg_L11192-1_CardiacDMSOfluctuation-Co2-0962_S11_R1_001.fastq.gz.md5,
mpimg_L11192-1_CardiacDMSOfluctuation-Co2-0962_S11_R2_001.fastq.gz,
mpimg_L11192-1_CardiacDMSOfluctuation-Co2-0962_S11_R2_001.fastq.gz.md5,
mpimg_L11193-1_CardiacDMSOfluctuation-Co2-0963_S12_R1_001.fastq.gz,
mpimg_L11193-1_CardiacDMSOfluctuation-Co2-0963_S12_R1_001.fastq.gz.md5,
mpimg_L11193-1_CardiacDMSOfluctuation-Co2-0963_S12_R2_001.fastq.gz,
mpimg_L11193-1_CardiacDMSOfluctuation-Co2-0963_S12_R2_001.fastq.gz.md5,
