"","annot.symbol","log2FC_avg","pvale_avg","adjPval_avg"
"1","ADARB1",-0.502301438425002,2.08442953495608e-05,0.00267451416740579
"2","AGPAT3",-0.887432239370064,1.30094032694026e-06,0.000353736943331964
"3","ANKLE2",-0.557937263793535,1.07983718146334e-08,7.77600816526619e-06
"4","ANKRD11",-0.559072304853013,1.16816688801262e-06,0.000326248456773961
"5","ATP11A",-0.516698171387055,1.69546328517924e-05,0.0023131819941305
"6","CREBBP",-0.527141450268739,4.11789805123265e-06,0.000837104052828451
"7","DENND3",-0.74340802511498,4.8472544657344e-09,3.94472068894444e-06
"8","DNAJB6",-0.566353454935296,1.59793946310659e-05,0.00221843671940461
"9","DNM2",-0.740751090642918,2.90539812579459e-08,1.76830975902152e-05
"10","DYNC1H1",-0.531329436918609,9.8460517577404e-05,0.00773572039029327
"11","EHMT1",-0.742652102399791,7.45228317925071e-06,0.00129212000104298
"12","HDAC4",-0.523721636604689,1.97753492486648e-05,0.00257673679799463
"13","IGF1R",-1.09494261153821,3.73231218078092e-06,0.000779250655513199
"14","LSP1",-0.831026516015045,1.83543067387778e-07,7.83122146417101e-05
"15","MAD1L1",-0.662186691661397,1.51838395983485e-08,1.03659252642291e-05
"16","NCOR2",-0.645934728929685,3.14912568989659e-08,1.88765849340438e-05
"17","PFKP",-0.91017509183994,6.36628838398463e-11,9.24816711440895e-08
"18","POLE",-0.65977566455981,7.6481955555884e-06,0.00131549217064318
"19","POLR2A",-0.963207581398015,5.11424861154658e-05,0.00497527603655002
"20","PRDM15",-0.692125391845035,5.18704691316833e-06,0.00099218911744881
"21","SDHA",-0.698847570457112,5.3053485989922e-06,0.0010089352192538
"22","SMARCA4",-0.645726212901615,2.00017966854647e-06,0.000489291556141292
"23","SNHG14",-0.714594438490776,0.000110870438667589,0.00836830092201056
"24","SUN1",-0.654501125812829,1.36042149246418e-09,1.32867260223941e-06
"25","TCF25",-0.502443147918906,4.89256980605371e-06,0.00095043099425496
