"","annot.symbol","log2FC_avg","pvale_avg","adjPval_avg"
"1","ADAP1",0.637901271170385,0.00016056092711627,0.0083249095502903
"2","AGPAT3",-0.910765702700267,3.19233525245731e-09,2.18578942371723e-06
"3","ANKRD11",-0.724031332946883,3.97700452002264e-05,0.00307689995629031
"4","ATP9B",-1.23879009782231,1.35189506471742e-08,6.99161572337586e-06
"5","DENND3",-0.869634856206004,1.10088094906126e-08,5.92923027250827e-06
"6","DYNC1H1",-0.683408035548336,2.05465477093357e-05,0.00190448599243783
"7","EHMT1",0.557023967458622,0.000117073301197005,0.00666412263537742
"8","EIF3B",-0.706739356954279,3.67256011403711e-05,0.00290347547606816
"9","HDAC4",-0.545928945379329,0.000118950792862031,0.00673860415154412
"10","HTT",-0.572845593407896,6.22675592627493e-07,0.000139403173023472
"11","IGF1R",-1.39001528933439,1.07426631942108e-09,8.94262169493971e-07
"12","KIF1A",0.508995769216043,4.43624380152564e-05,0.00332725778769493
"13","LSP1",-0.589152645233988,0.000108268360500534,0.00630681116589255
"14","MAD1L1",0.609734826614346,4.15132857490244e-06,0.000585830974258454
"15","MBTPS1",-0.651554421832419,0.000206286659545113,0.00993072021767379
"16","MCF2L",0.62839697818976,2.7876099312438e-08,1.24192917317777e-05
"17","MOK",-0.633457997032198,0.000139355045556953,0.00753946686851476
"18","NCOR2",-0.600211497914131,1.07856366235352e-08,5.83692362209138e-06
"19","OSBPL2",0.560973240436824,3.62989668861604e-08,1.53488848484949e-05
"20","PFKP",-0.773404449621684,6.48692442842759e-08,2.42357462267772e-05
"21","PIGG",0.929599291679084,2.30398296898861e-08,1.06803223124706e-05
"22","POLE",-0.546409632869048,7.05024311103734e-05,0.00464235641367413
"23","POLR2A",-0.782094374541552,4.87330999891424e-05,0.00355923369037938
"24","PPFIA1",-0.516134986586495,3.63298507468963e-07,9.23123570212548e-05
"25","PRDM15",-0.516227562230142,0.00010253555140588,0.00606731409035754
"26","RGS12",-0.832228130248595,8.72230176693967e-06,0.00101705983565581
"27","RNF213",-0.620459084227162,4.39044041605123e-08,1.77945272660513e-05
"28","SDHA",-0.685115639872233,1.75011256133407e-05,0.00169538258897735
"29","SEPTIN9",-0.88977988837837,1.92918035411449e-05,0.00181952884894664
"30","SMG6",0.723931860565296,1.28472607045178e-07,4.13340830972283e-05
"31","SNHG14",-0.726633486070072,4.81069018257461e-06,0.000654135895579465
"32","SPG7",-0.680886916892865,3.47595080767623e-06,0.000512636428447729
"33","SPTAN1",-0.701317959890808,0.000114871521146549,0.00657496182339744
"34","SUN1",-0.661799687645971,1.68412266554483e-05,0.00164766941915951
"35","TCF25",0.574223132325607,2.92302698320054e-06,0.000449610595294466
